DCTPepD_ID,ClinicalTrials.gov_Identifier,Title,Condition_or_disease,Phase,Purpose
DCTPepD0001,NCT01020448,"Prostate Cancer Antigen-3 (PCA-3) and TMPRSS2-ERG (T2-ERG) Score Changes During Initiation of Androgen Deprivation Therapy (ADT) With Triptorelin 22.5mg in Patients With Advanced Prostate Cancer (PCA): A Phase III, Single Arm Multicentre Study",Prostate Cancer,Phase 3,Treatment
DCTPepD0001,NCT01753297,"A Multicentric, Multinational (China and Russia), Randomised, Open, Controlled Study of Immediate 9 Months Adjuvant Hormone Therapy With Triptorelin 11.25 mg Versus Active Surveillance After Radical Prostatectomy in High Risk Prostate Cancer Patients",Prostate Cancer,Phase 4,Treatment
DCTPepD0001,NCT01969578,"A Randomized Phase II Study to Evaluate the Efficacy and Safety of Chemotherapy (CT) vs Androgen Deprivation Therapy (ADT) in Patients With Recurrent and/or Metastatic, Androgen Receptor (AR) Expressing, Salivary Gland Cancer (SGCs)",Salivary Gland Cancer,Phase 2,Treatment
DCTPepD0001,NCT00667069,"Randomized, Multicenter Study Comparing the Immediate Adjuvant Radiotherapy Associate With Hormonal Therapy of LH-RH Analogue (Decapeptyl® LP) vs Delayed Radiotherapy Until Biochemical Relapse Associated With Hormonal Therapy of LH-RH Analogue (Decapeptyl® LP) in Patients With Operable Prostate Cancer pT3 R1 pN0 or pNx at Intermediate Risk.",Prostate Cancer,Phase 3,Treatment
DCTPepD0001,NCT00412022,"Phase III Randomized Study of the Effects on Bone Mineral Density of Tamoxifen, Letrozole, and Letrozole + Zoledronic Acid as Adjuvant Treatment of Patients With Early Breast Cancer; VERSION 2 AMENDED Phase 3 Study of Triptorelin and Tamoxifen, Letrozole, or Letrozole + Zoledronic Acid in Adjuvant Treatment of Premenopausal Endocrine Responsive Breast Cancer Patients.",Breast Cancer,Phase 3,Treatment
DCTPepD0002,NCT03936218,"A Two Arm, Multi Centric, Randomised, Open Label, Parallel Study to Compare Pharmacodynamics of Subcutaneous Goserelin 10.8mg Injection (Sponsor) With ZOLADEX® 10.8mg Injection (AstraZeneca) in Patients With Advanced Prostate Cancer",Advanced Prostate Cancer,Phase 3,Treatment
DCTPepD0002,NCT00186121,"A Phase II Trial of Arimidex Plus Zoladex in the Treatment of Hormone Receptor Positive, Metastatic Carcinoma of the Breast in Premenopausal Women",Breast Cancer,Phase 2,Treatment
DCTPepD0002,NCT01073865,"An Open Label, Randomised, Parallel Group, Multicentre Study to Compare ZOLADEX™ 10.8 mg Given Every 12 Weeks With ZOLADEX 3.6 mg Given Every 4 Weeks in Pre-menopausal Women With Oestrogen Receptor Positive Advanced Breast Cancer.",Breast Cancer,Phase 3,Treatment
DCTPepD0002,NCT02586675,The TEEL Study: A Phase I Trial of Tamoxifen With Ribociclib (LEE011) in Adult Patients With Advanced ER+ (HER2 Negative) Breast Cancer,Breast Cancer; Breast Cancer - Female; Breast Cancer - Male,Phase 1,Treatment
DCTPepD0002,NCT02430480,Neoadjuvant Androgen Deprivation and Enzalutamide: Using Multiparametric MRI to Evaluate Intraprostatic Tumor Responses and Androgen Resistance Patterns in Newly Diagnosed Prostate Cancer,Prostate Cancer,Phase 2,Treatment
DCTPepD0003,NCT03289741,"A Pilot Study To Evaluate Patient Experience With the Somatostatin Analogs Octreotide Long Acting Release and Lanreotide During the Treatment of Advanced, Nonfunctional, Well Differentiated Neuroendocrine Tumors",Neuroendocrine Tumors,Phase 4,Treatment
DCTPepD0003,NCT02409849,Randomized Phase II Study of Octreotide LAR as Maintenance Treatment After First-line Chemotherapy for Patients With Unresectable or Metastatic Gastro-entero-pancreatic or Esophageal Neuroendocrine Carcinomas,Gastro-entero-pancreatic Carcinoma; Esophageal Neuroendocrine Carcinoma,Phase 2,Treatment
DCTPepD0003,NCT05459844,"A Study Comparing Treatment With Lutetium[177Lu] Oxodotreotide Injection to Octreotide LAR in Patients With Inoperable, Progressive, , Well Differentiated， Somatostatin Receptor Positive Gastroenteropancreatic Neuroendocrine Tumours",Neuroendocrine Tumors,Phase 3,Treatment
DCTPepD0003,NCT01578239,"A Multicentre, Stratified, Open, Randomized, Comparator-controlled, Parallel-group Phase III Study Comparing Treatment With 177Lu-DOTA0-Tyr3-Octreotate to Octreotide LAR in Patients With Inoperable, Progressive, Somatostatin Receptor Positive Midgut Carcinoid Tumours",Carcinoid Tumor of the Small Bowel; Neuroendocrine Tumour,Phase 3,Treatment
DCTPepD0003,NCT00427349,A Phase II Clinical and Biologic Study of AMG 706 and Octreotide in Patients With Low-Grade Neuroendocrine Tumors,Gastrointestinal Carcinoid Tumor; Islet Cell Tumor; Neoplastic Syndrome,Phase 2,Treatment
DCTPepD0004,NCT01862003,"AZD8931, an Inhibitor of EGFR, ERBB2 and ERBB3 Signalling, in Combination With FOLFIRI: a Phase I/II Study to Determine the Importance of Schedule and Activity in Colorectal Cancer",Metastatic Colorectal Cancer; Recurrent Colorectal Cancer,Phase 2,Treatment
DCTPepD0004,NCT01596530,A Randomised Double-Blind Placebo-controlled Multicentre Phase I Study to Assess the Biological Activity of AZD8931 in Patients With Early Breast Cancer Who Are Ineligible for Treatment With Trastuzumab as Defined by IHC Status,Breast Neoplasm,Phase 1,Treatment
DCTPepD0004,NCT01003158,"A Phase I, Open-label, Multiple-dose, Dose-escalation Study To Assess the Safety and Tolerability of AZD8931 Monotherapy in Japanese Patients With Advanced Solid Malignancies and in Combination With Paclitaxel in Japanese Female Patients With Advanced Breast Cancer",Neoplasms; Metastatic Cancer; Breast Cancer,Phase 1,Treatment
DCTPepD0004,NCT00900627,"A Phase I/II Multi-centre Study of AZD8931 in Combination With Weekly Paclitaxel to Assess the Safety, Tolerability, Pharmacokinetics and Efficacy in Patients With Advanced Solid Tumours and in a Selected Population With Low HER2-expressing Locally Recurrent and/or Metastatic Breast Cancer",Neoplasms; Breast Neoplasms; Breast Cancer,Phase 1/2,Treatment
DCTPepD0004,NCT00637039,"A Phase 1, Open-label, Multiple-dose, Dose Escalation Study to Assess the Safety, Tolerability and Pharmacokinetics of AZD8931 in Patients With Advanced Solid Malignancies",Advanced Solid Malignancies,Phase 1,Treatment
DCTPepD0005,NCT03946527,Exploratory Phase II Study of LAnreotide in Metastatic Pheochromocytoma/PARAganglioma (LAMPARA),Paraganglioma; Pheochromocytoma,Phase 2,Treatment
DCTPepD0005,NCT04427787,A Phase II Trial Aiming to Assess the Safety and Activity of the Combination of Cabozantinib Plus Lanreotide in Gastroenteropancreatic (GEP) and Thoracic Neuroendocrine Tumor (NET): The LOLA Trial,Metastatic Well Differentiated Neuroendocrine Neoplasm; Neuroendocrine Tumors,Phase 2,Treatment
DCTPepD0005,NCT02651987,"Efficacy and Safety of Lanreotide Autogel® 120 mg Administered Every 14 Days in Well Differentiated, Metastatic or Locally Advanced, Unresectable Pancreatic or Midgut Neuroendocrine Tumours Having Progressed Radiologically While Previously Treated With Lanreotide Autogel® 120 mg Administered Every 28 Days",Pancreatic Tumours; Midgut Neuroendocrine Tumours,Phase 2,Treatment
DCTPepD0005,NCT03043664,Phase Ib/II Study of Pembrolizumab With Lanreotide Depot for Gastroenteropancreatic Neuroendocrine Tumors,Gastroenteropancreatic Neuroendocrine Tumors,Phase 1/2,Treatment
DCTPepD0005,NCT00842348,Open Label Extension Study of Lanreotide Autogel 120 mg in Patients With Non-functioning Entero-pancreatic Endocrine Tumour,Non Functioning Entero-pancreatic Endocrine Tumour,Phase 3,Treatment
DCTPepD0006,NCT00841113,"Phase III Study of the Comparison of Abarelix Versus Goserelin Plus Bicalutamide in Patients With Advanced or Metastatic Prostate Cancer. A One Year Randomised, Open Label, Multi-Centre Phase III Trial.",Prostate Cancer,Phase 3,Treatment
DCTPepD0006,NCT00100243,Phase 2 Study of Abarelix in Androgen-Independent Prostate Cancer Progressing After Agonist Therapy,Prostate Cancer,Phase 2,Treatment
DCTPepD0006,NCT00103623,Incidence of Immediate Onset Systemic Allergic Reactions in Patients Treated With Plenaxis®,Prostate Cancer,Phase 4,Treatment
DCTPepD0007,NCT03069937,A Phase II Study of Docetaxel Before Medical Castration With Degarelix in Patients With Newly Diagnosed Metastatic Prostatic Adenocarcinoma.,Metastatic Prostatic Adenocarcinoma,Phase 2,Treatment
DCTPepD0007,NCT02475057,"A Pilot Study on Endothelial Function and Cardiovascular Biomarkers in Prostate Cancer (PCa) Patients, With Pre-existing Cardiovascular Disease, Treated With Degarelix vs. Luteinizing Hormone-Releasing Hormone (LHRH) Agonists",Prostatic Neoplasms; Cardiovascular Diseases,Phase 4,Treatment
DCTPepD0007,NCT01512472,"Randomized, Multicentre Efficacy and Safety Study Comparing 10 Mons vs 4 Mons Degarelix Therapy in Prolonging the Off Treatment Interval in Men With Localized Prostate Cancer Receiving Intermittent ADT for Biochemical Recurrence Following Radical Local Therapy",Prostate Cancer Recurrent,Phase 4,Treatment
DCTPepD0007,NCT02015871,"An Extension Long-Term Safety and Tolerability Trial of Degarelix, Following a 1-year Open-Label, Multi-Centre, Randomised, Parallel-group Trial in Which the Efficacy and Safety of Degarelix One-month Dosing Regimen Was Compared With Goserelin in Chinese Patients With Prostate Cancer Requiring Androgen Ablation Therapy",Prostate Cancer,Phase 3,Treatment
DCTPepD0007,NCT01994239,A Multicenter Randomised Phase II Study Comparing the Efficiency of a HT Concomitant With RT vs RT Alone in the Salvage of Patients With a Detectable PSA After Prostatectomy,Adenocarcinoma of Prostate,Phase 2,Treatment
DCTPepD0008,NCT01053390,A Phase III Study of New Chemotherapy Regimen in the Treatment of Advanced Gallbladder Carcinoma,Gallbladder Neoplasms,Phase 3,Treatment
DCTPepD0008,NCT02631616,Treatment With Sandostatin in Patients With Castrate Resistance Prostate Cancer Showing Uptake of 68Ga-DOTATET,Prostatic Neoplasms,Phase 1,Treatment
DCTPepD0008,NCT01914692,Application of Somatostatin for Advanced Gastric Cancer After D2 Lymph Node Dissection -a Prospective Randomized Controlled Study,Gastric Cancer After D2 Lymph Node Dissection,Phase 4,Treatment
DCTPepD0008,NCT01053390,A Phase III Study of New Chemotherapy Regimen in the Treatment of Advanced Gallbladder Carcinoma,Gallbladder Neoplasms,Phase 3,Treatment
DCTPepD0008,NCT03000946,"Prevention of Postoperative Pancreatic Fistula by SOMATOSTATIN Compared to OCTREOTIDE: Prospective, Randomized, Controlled Study",Pancreatic Surgery,Phase 3,Prevention
DCTPepD0009,NCT00054106,A Phase I Study Of Combination Neoadjuvant Hormone Therapy And Weekly OGX-011 (Clusterin Antisense Oligonucleotide) Prior To Radical Prostatectomy In Patients With Localized Prostate Cancer,Prostate Cancer,Phase 1,Treatment
DCTPepD0009,NCT00002633,"Phase III Randomized Trial Comparing Total Androgen Blockade Versus Total Androgen Blockade Plus Pelvic Irradiation in Clinical Stage T3-4, N0, M0 Adenocarcinoma of the Prostate",Prostate Cancer,Phase 3,Treatment
DCTPepD0009,NCT01546987,Phase III Trial of Dose Escalated Radiation Therapy and Standard Androgen Deprivation Therapy (ADT) With a GNRH Agonist vs. Dose Escalated Radiation Therapy and Enhanced ADT With a GNRH Agonist and TAK-700 For Men With High Risk Prostate Cancer,Prostate Cancer,Phase 3,Treatment
DCTPepD0009,NCT05050084,Parallel Phase III Randomized Trials of Genomic-Risk Stratified Unfavorable Intermediate Risk Prostate Cancer: De-Intensification and Intensification Clinical Trial Evaluation (GUIDANCE),Prostate Adenocarcinoma,Phase 3,Treatment
DCTPepD0009,NCT00627406,A Prospective Randomised Study to Evaluate the Effect of Triggering Ovulation With GnRHa (Buserelin) and Low Dose hCG (Pregnyl) as Compared to the Use of Conventional Doses of hCG (Pregnyl),OHSS (Ovarian Hyperstimulation),Phase 4,Treatment
