DCTPep_ID,Cell_Line,Disease,Cancer_Classified,Assay,Activity,Testing_Time,Literature
DCTPep00001,HeLa,Human papillomavirus-related endocervical adenocarcinoma,Carcinoma,MTT assay,IC50=30 µM,2 days,2
DCTPep00002,NCI-H146,Lung small cell carcinoma; Small cell lung cancer,Carcinoma,MTT assay,IC50=15.8 µM,72 h,2
DCTPep00002,NCI-H69,Lung small cell carcinoma; Small cell lung cancer,Carcinoma,MTT assay,IC50=15.8 µM,72 h,2
DCTPep00002,NCI-H128,Lung small cell carcinoma; Small cell lung cancer,Carcinoma,MTT assay,IC50=16.1 µM,72 h,2
DCTPep00002,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=30 µM,3 days,1
DCTPep00002,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=44 µM,3 days,1
DCTPep00002,A549,Lung adenocarcinoma,Carcinoma,MTT assay,IC50=60 µM,3 days,1
DCTPep00002,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=65 µM,3 days,1
DCTPep00003,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=75 µM,3 days,1
DCTPep00003,A549,Lung adenocarcinoma,Carcinoma,MTT assay,IC50>100 µM,3 days,1
DCTPep00003,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50>100 µM,3 days,1
DCTPep00003,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50>100 µM,3 days,1
DCTPep00004,A549,Lung adenocarcinoma,Carcinoma,MTT assay,IC50=100 µM,3 days,1
DCTPep00004,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=100 µM,3 days,1
DCTPep00004,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=65 µM,3 days,1
DCTPep00004,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=85.3 µM,3 days,1
DCTPep00005,Jurkat,Childhood T acute lymphoblastic leukemia; Precursor T-cell acute lymphoblastic leukemia,Leukemia,MTT assay,IC50=20 µM,3 days,1
DCTPep00005,A549,Lung adenocarcinoma,Carcinoma,MTT assay,IC50=25 µM,3 days,1
DCTPep00005,MDA-MB-361,Breast adenocarcinoma,Carcinoma,MTT assay,IC50=28 µM,3 days,1
DCTPep00005,K562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive; Chronic myeloid leukemia",Leukemia,MTT assay,IC50=35.1 µM,3 days,1
DCTPep00006,Brain tumor cell (NCI),Brain tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00006,Breast tumor cell (NCI),Breast tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00006,Lung tumor cell (NCI),Lung tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00006,Ovary tumor cell (NCI),Ovary tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00006,Prostate tumor cell (NCI),Prostate tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00006,Renal tumor cell (NCI),Renal tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00006,Skin tumor cell (NCI),Skin tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00006,Colon tumor cell (NCI),Colon tumor,Carcinoma,Not available,LC50=10-100 µM,Not available,1
DCTPep00006,Leukemia tumor cell (NCI),Leukemia tumor,Carcinoma,Not available,LC50=10-100 µM,Not available,1
DCTPep00007,Brain tumor cell (NCI),Brain tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00007,Breast tumor cell (NCI),Breast tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00007,Colon tumor cell (NCI),Colon tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00007,Lung tumor cell (NCI),Lung tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00007,Ovary tumor cell (NCI),Ovary tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00007,Prostate tumor cell (NCI),Prostate tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00007,Renal tumor cell (NCI),Renal tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00007,Skin tumor cell (NCI),Skin tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00007,Leukemia tumor cell (NCI),Leukemia tumor,Carcinoma,Not available,LC50=10-100 µM,Not available,1
DCTPep00008,Colon tumor cell (NCI),Colon tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00008,Leukemia tumor cell (NCI),Leukemia tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00008,Lung tumor cell (NCI),Lung tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00008,Prostate tumor cell (NCI),Prostate tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00008,Brain tumor cell (NCI),Brain tumor,Carcinoma,Not available,LC50=10-100 µM,Not available,1
DCTPep00008,Breast tumor cell (NCI),Breast tumor,Carcinoma,Not available,LC50=10-100 µM,Not available,1
DCTPep00008,Ovary tumor cell (NCI),Ovary tumor,Carcinoma,Not available,LC50=10-100 µM,Not available,1
DCTPep00008,Renal tumor cell (NCI),Renal tumor,Carcinoma,Not available,LC50=10-100 µM,Not available,1
DCTPep00008,Skin tumor cell (NCI),Skin tumor,Carcinoma,Not available,LC50=10-100 µM,Not available,1
DCTPep00009,Brain tumor cell (NCI),Brain tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00009,Breast tumor cell (NCI),Breast tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00009,Leukemia tumor cell (NCI),Leukemia tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00009,Lung tumor cell (NCI),Lung tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00009,Ovary tumor cell (NCI),Ovary tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00009,Prostate tumor cell (NCI),Prostate tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00009,Renal tumor cell (NCI),Renal tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00009,Skin tumor cell (NCI),Skin tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00009,Colon tumor cell (NCI),Colon tumor,Carcinoma,Not available,LC50=10-100 µM,Not available,1
DCTPep00010,Brain tumor cell (NCI),Brain tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
DCTPep00010,Breast tumor cell (NCI),Breast tumor,Carcinoma,Not available,LC50=10 µM,Not available,1
